operation,iteration_1_ms,iteration_2_ms,iteration_3_ms
R1,20.239,18.286,18.000
R2,216.615,224.401,213.881
R3,662.115,721.040,710.457
R4,365.237,342.437,340.577
R5,50.221,48.968,46.789
R6,653.254,678.472,646.136
U1,235.903,231.217,225.872
U2,1.418,1.179,1.075
U3,610.315,581.128,604.824
U4,1.290,2.294,1.168
U5,376.827,340.020,344.927
U6,16.642,16.562,17.787
C1,11.058,11.122,11.523
C2,0.631,0.845,1.009
C3,1.400,1.380,1.239
C4,1.180,1.473,1.297
C5,1.747,1.916,1.523
C6,4.306,3.996,4.110
D1,7.118,6.381,6.524
D2,8.092,7.526,7.256
D3,25232.738,25690.034,25442.179
D4,26759.344,26592.363,26491.785
D5,1.623,1.566,1.746
D6,1.967,1.853,1.787
