operation,iteration_1_ms,iteration_2_ms,iteration_3_ms
R1,107.620,97.720,125.571
R2,8.476,12.859,10.265
R3,47.118,40.097,40.483
R4,9.626,9.635,9.603
R5,31.642,29.899,31.792
R6,34.079,34.997,34.241
U1,24.236,28.516,22.618
U2,7.026,6.737,9.770
U3,51.821,29.170,26.626
U4,6.887,7.173,6.867
U5,20.605,19.277,21.230
U6,10.314,18.449,18.761
C1,17.286,9.237,7.536
C2,7.750,7.247,10.893
C3,10.807,10.915,9.122
C4,8.397,8.501,7.288
C5,8.833,9.012,9.137
C6,19.779,17.379,17.870
D1,6.373,6.912,6.316
D2,7.319,8.424,7.392
D3,448.237,432.081,456.126
D4,66.914,71.272,64.678
D5,17.913,24.899,21.363
D6,26.069,25.779,25.514
