operation,iteration_1_ms,iteration_2_ms,iteration_3_ms
R1,118.266,92.629,74.193
R2,401.291,373.955,341.511
R3,730.766,706.348,683.413
R4,314.049,324.988,315.240
R5,60.525,48.489,45.582
R6,682.602,669.581,683.095
U1,254.421,237.105,232.845
U2,7.464,3.352,3.699
U3,605.512,842.615,594.379
U4,4.596,4.435,4.960
U5,407.909,404.187,401.109
U6,24.027,26.911,28.937
C1,35.715,33.917,33.629
C2,1.410,1.419,1.239
C3,3.800,3.395,3.154
C4,3.662,3.344,3.610
C5,4.592,4.519,4.530
C6,9.615,12.323,12.590
D1,2.290,2.535,2.413
D2,3.922,3.305,2.831
D3,30836.279,30044.998,29897.838
D4,34464.041,33613.135,34163.356
D5,3.427,3.204,3.151
D6,3.190,3.285,3.177
