operation,iteration_1_ms,iteration_2_ms,iteration_3_ms
R1,81.146,79.100,76.763
R2,110.828,107.682,103.170
R3,317.427,301.447,311.133
R4,173.873,169.159,173.832
R5,25.823,25.746,25.507
R6,312.266,292.794,300.113
U1,110.473,106.458,115.601
U2,1.222,1.247,1.289
U3,279.950,275.095,277.682
U4,1.660,1.149,1.286
U5,177.680,175.164,197.698
U6,16.118,16.540,15.998
C1,10.758,10.737,11.157
C2,0.702,0.776,0.753
C3,1.577,1.290,1.540
C4,1.448,1.677,1.489
C5,1.684,2.051,1.806
C6,5.203,3.871,4.090
D1,5.314,5.509,5.748
D2,7.431,7.279,7.603
D3,12590.308,12487.622,12713.519
D4,13307.583,13779.418,13553.248
D5,1.738,1.953,2.042
D6,1.671,2.016,2.008
