operation,iteration_1_ms,iteration_2_ms,iteration_3_ms
R1,51.148,101.856,98.068
R2,25.763,21.575,25.019
R3,144.409,51.978,24.320
R4,6.211,5.882,6.524
R5,27.911,27.088,19.423
R6,17.790,19.439,22.646
U1,14.326,14.671,15.477
U2,6.356,7.533,15.017
U3,15.841,14.865,14.939
U4,26.068,8.768,7.588
U5,11.241,10.722,10.674
U6,10.633,21.690,14.463
C1,7.069,32.440,8.426
C2,18.273,7.988,8.220
C3,11.915,14.287,11.395
C4,9.350,10.916,10.053
C5,9.133,10.924,10.102
C6,22.104,15.283,17.215
D1,7.667,8.985,7.026
D2,7.735,6.558,6.820
D3,222.631,218.987,212.551
D4,33.047,33.421,32.373
D5,20.684,21.040,25.832
D6,16.166,20.600,16.426
