operation_number,start_time_1,end_time_1,duration_ms_1,start_time_2,end_time_2,duration_ms_2,start_time_3,end_time_3,duration_ms_3,average_ms
1,2026-05-15T19:34:58.671008583Z,2026-05-15T19:34:58.694455416Z,23.4468,2026-05-15T19:34:58.694517943Z,2026-05-15T19:34:58.700275409Z,5.7575,2026-05-15T19:34:58.700282445Z,2026-05-15T19:34:58.706602672Z,6.3202,11.8415
2,2026-05-15T19:34:58.712572327Z,2026-05-15T19:34:58.718259337Z,5.6870,2026-05-15T19:34:58.718272821Z,2026-05-15T19:34:58.723427084Z,5.1543,2026-05-15T19:34:58.723444929Z,2026-05-15T19:34:58.729992869Z,6.5479,5.7964
3,2026-05-15T19:34:58.763406530Z,2026-05-15T19:34:58.778181451Z,14.7749,2026-05-15T19:34:58.778190744Z,2026-05-15T19:34:58.780582026Z,2.3913,2026-05-15T19:34:58.780587139Z,2026-05-15T19:34:58.782735986Z,2.1488,6.4384
4,2026-05-15T19:34:58.796196977Z,2026-05-15T19:34:58.801698869Z,5.5019,2026-05-15T19:34:58.801706836Z,2026-05-15T19:34:58.803267540Z,1.5607,2026-05-15T19:34:58.803271569Z,2026-05-15T19:34:58.804721150Z,1.4496,2.8374
5,2026-05-15T19:34:58.815021379Z,2026-05-15T19:34:58.829057076Z,14.0357,2026-05-15T19:34:58.829065451Z,2026-05-15T19:34:58.840293302Z,11.2279,2026-05-15T19:34:58.840299552Z,2026-05-15T19:34:58.850989589Z,10.6900,11.9845
6,2026-05-15T19:34:58.855582836Z,2026-05-15T19:34:58.865804179Z,10.2213,2026-05-15T19:34:58.865811672Z,2026-05-15T19:34:58.872371Z,6.5593,2026-05-15T19:34:58.872375365Z,2026-05-15T19:34:58.879166152Z,6.7908,7.8572
7,2026-05-15T19:34:58.884137195Z,2026-05-15T19:34:58.890672566Z,6.5354,2026-05-15T19:34:58.890678439Z,2026-05-15T19:34:58.897490642Z,6.8122,2026-05-15T19:34:58.897495038Z,2026-05-15T19:34:58.903902330Z,6.4073,6.5850
8,2026-05-15T19:34:58.911334050Z,2026-05-15T19:34:58.916981555Z,5.6475,2026-05-15T19:34:58.916988859Z,2026-05-15T19:34:58.922359664Z,5.3708,2026-05-15T19:34:58.922365363Z,2026-05-15T19:34:58.928870431Z,6.5051,5.8411
9,2026-05-15T19:34:58.930496307Z,2026-05-15T19:34:58.958583120Z,28.0868,2026-05-15T19:34:58.958589912Z,2026-05-15T19:34:58.989851721Z,31.2618,2026-05-15T19:34:58.989858226Z,2026-05-15T19:34:59.019140683Z,29.2825,29.5437
