operation_number,start_time_1,end_time_1,duration_ms_1,start_time_2,end_time_2,duration_ms_2,start_time_3,end_time_3,duration_ms_3,average_ms
1,2026-05-14T19:29:30.829170472Z,2026-05-14T19:29:30.833312230Z,4.1418,2026-05-14T19:29:30.834443257Z,2026-05-14T19:29:30.837058436Z,2.6152,2026-05-14T19:29:30.837139757Z,2026-05-14T19:29:30.839571352Z,2.4316,3.0628
2,2026-05-14T19:30:06.346698747Z,2026-05-14T19:30:06.349270355Z,2.5716,2026-05-14T19:30:06.349356372Z,2026-05-14T19:30:06.352071458Z,2.7151,2026-05-14T19:30:06.352185904Z,2026-05-14T19:30:06.355051519Z,2.8656,2.7174
