operation,iteration_1_ms,iteration_2_ms,iteration_3_ms
R1,71.077,14.617,15.817
R2,1.933,1.525,1.338
R3,33.131,31.526,31.507
R4,2.799,2.475,2.862
R5,4.570,4.825,4.775
R6,2.995,2.788,2.877
U1,3.943,4.446,3.838
U2,3.134,3.632,3.480
U3,2.265,2.192,2.311
U4,3.076,3.552,5.709
U5,1.801,1.726,1.800
U6,4.565,4.492,4.646
C1,3.500,3.640,3.496
C2,3.482,3.169,3.600
C3,6.366,4.798,4.747
C4,3.578,3.484,3.610
C5,4.469,4.663,4.454
C6,8.720,8.028,9.923
D1,3.026,3.583,4.781
D2,3.015,3.043,3.376
D3,13.689,12.711,12.248
D4,99.012,102.791,107.322
D5,4.196,6.084,4.805
D6,5.276,3.974,3.854
