operation,iteration_1_ms,iteration_2_ms,iteration_3_ms
R1,46.259,48.737,43.595
R2,2.434,2.321,2.247
R3,21.576,21.650,21.068
R4,7.371,7.204,6.822
R5,17.757,17.087,16.575
R6,17.960,17.551,17.402
U1,2.257,2.735,2.546
U2,2.114,2.375,2.439
U3,3.937,2.674,3.238
U4,2.387,2.262,2.411
U5,5.885,4.852,4.756
U6,3.421,4.073,3.657
C1,2.529,2.501,2.340
C2,2.356,2.839,2.496
C3,4.154,5.662,6.468
C4,2.922,2.856,2.919
C5,3.919,3.470,3.262
C6,8.439,7.070,8.933
D1,2.134,2.127,2.126
D2,2.069,2.146,2.051
D3,49.826,40.824,47.725
D4,50.408,50.071,54.432
D5,2.320,2.143,2.423
D6,2.591,2.363,2.469
