operation,iteration_1_ms,iteration_2_ms,iteration_3_ms
R1,1678.497,1482.532,1399.800
R2,46.002,50.969,38.987
R3,9667.924,10182.723,10873.659
R4,53.013,52.239,52.522
R5,217.785,206.047,212.562
R6,158.840,154.140,258.343
U1,81.578,108.655,84.472
U2,4.467,4.223,4.644
U3,130.019,53.568,51.326
U4,4.514,4.662,5.548
U5,70.945,53.993,53.181
U6,6.303,5.860,6.506
C1,4.539,5.063,6.004
C2,4.717,5.779,4.695
C3,7.352,5.724,10.790
C4,4.913,4.871,5.695
C5,10.489,7.481,22.691
C6,16.965,17.272,17.752
D1,4.111,3.934,4.085
D2,3.937,4.231,4.181
D3,2025.704,1308.963,1520.532
D4,11319.317,11331.847,11056.459
D5,61.933,59.423,59.954
D6,48.872,49.649,48.961
