operation,iteration_1_ms,iteration_2_ms,iteration_3_ms
R1,13.382,14.118,13.579
R2,4.102,4.126,5.357
R3,9.721,9.089,7.706
R4,3.921,2.889,4.067
R5,5.325,5.427,5.069
R6,3.475,2.921,2.948
U1,3.973,4.486,3.986
U2,4.054,3.653,3.641
U3,4.014,4.195,3.634
U4,5.770,3.541,4.340
U5,10.023,3.494,3.100
U6,5.341,6.323,6.200
C1,4.208,4.764,4.639
C2,4.129,5.849,3.967
C3,6.937,6.248,5.994
C4,8.951,4.333,8.213
C5,6.588,5.926,5.049
C6,13.261,13.653,13.714
D1,4.395,3.625,7.053
D2,4.437,4.595,4.488
D3,86.381,81.849,82.150
D4,7.555,7.029,7.168
D5,4.852,3.822,4.718
D6,4.750,4.852,4.873
