operation,iteration_1_ms,iteration_2_ms,iteration_3_ms
R1,20.136,18.474,20.518
R2,6.913,7.242,13.609
R3,98.216,97.869,93.873
R4,67.586,75.231,59.314
R5,10.356,10.444,10.054
R6,102.706,100.234,102.389
U1,3.706,3.571,3.938
U2,3.316,3.156,3.087
U3,35.582,34.527,35.532
U4,3.009,2.876,2.582
U5,3.740,3.336,3.435
U6,21.329,20.074,19.699
C1,3.311,3.166,3.347
C2,1.475,1.474,2.061
C3,2.852,2.915,3.210
C4,3.959,3.239,3.380
C5,4.239,3.757,3.952
C6,11.434,13.118,10.432
D1,2.483,2.456,2.425
D2,3.199,3.246,2.955
D3,3142.458,2970.037,2952.225
D4,4448.797,4434.858,4480.443
D5,3.590,4.148,3.988
D6,4.197,3.812,3.479
