operation,iteration_1_ms,iteration_2_ms,iteration_3_ms
R1,694.139,579.866,559.078
R2,2952.129,2859.041,2896.371
R3,7252.482,7238.829,7285.383
R4,3758.099,3743.354,3699.374
R5,508.968,511.133,523.146
R6,7451.926,7423.749,7287.227
U1,2323.981,2332.140,2330.364
U2,3.009,3.718,3.083
U3,6334.041,6485.411,6329.167
U4,3.419,2.982,2.948
U5,3957.948,3997.744,3943.487
U6,25.099,26.227,28.500
C1,34.656,30.828,31.923
C2,1.207,1.191,1.194
C3,2.909,2.765,2.726
C4,3.839,4.468,5.902
C5,4.375,3.887,4.312
C6,9.202,8.458,10.139
D1,2.326,2.415,2.450
D2,3.076,2.972,2.866
D3,300032.576,299953.789,297640.677
D4,333396.453,333806.296,333274.292
D5,3.442,3.590,3.182
D6,3.196,3.134,2.897
