operation,iteration_1_ms,iteration_2_ms,iteration_3_ms
R1,633.111,691.523,660.391
R2,17.842,19.387,17.813
R3,1121.067,1140.588,1095.809
R4,32.578,34.889,35.801
R5,140.231,161.345,138.898
R6,168.302,170.659,171.438
U1,48.121,47.826,48.400
U2,3.062,3.947,3.526
U3,51.156,46.167,43.510
U4,4.839,3.401,3.488
U5,700.086,31.075,31.535
U6,5.622,4.825,5.600
C1,4.153,3.864,4.042
C2,4.374,3.862,5.507
C3,4.870,5.402,5.352
C4,4.195,4.050,3.618
C5,53.079,4.330,5.008
C6,8.248,6.663,8.223
D1,3.718,3.278,3.510
D2,3.045,3.298,3.231
D3,1035.748,1811.939,1039.978
D4,7297.023,6049.277,5631.543
D5,31.752,31.274,31.289
D6,24.256,23.351,23.595
