operation,iteration_1_ms,iteration_2_ms,iteration_3_ms
R1,99.998,97.790,98.442
R2,11.221,10.627,10.699
R3,726.030,733.805,729.431
R4,327.832,345.196,320.994
R5,48.597,46.909,47.337
R6,702.881,675.206,670.128
U1,1.538,1.359,2.118
U2,1.597,1.395,1.382
U3,586.195,545.209,540.763
U4,1.191,1.082,1.026
U5,6.900,6.654,6.010
U6,11.072,17.916,14.878
C1,1.359,1.609,1.712
C2,0.769,0.769,0.706
C3,1.502,2.150,4.177
C4,1.699,1.564,1.425
C5,2.136,2.041,2.304
C6,4.757,4.937,5.474
D1,1.436,1.305,1.342
D2,1.612,1.647,1.410
D3,17845.930,18523.342,17654.181
D4,16155.865,15357.953,15524.030
D5,2.146,2.109,2.568
D6,2.042,2.312,1.860
