operation,iteration_1_ms,iteration_2_ms,iteration_3_ms
R1,947.613,868.627,783.584
R2,1298.474,685.465,1146.158
R3,5923.157,5879.545,5917.883
R4,4441.624,3603.084,3745.640
R5,443.297,472.994,451.041
R6,6319.469,6278.888,6200.116
U1,2.437,2.584,3.165
U2,2.408,1.811,1.858
U3,3954.286,2187.052,2224.373
U4,2.724,2.278,1.830
U5,2291.141,129.928,987.951
U6,26.236,27.617,27.408
C1,4.146,3.518,4.143
C2,1.283,1.491,1.566
C3,2.660,2.937,2.660
C4,2.837,2.994,3.117
C5,3.698,4.274,3.315
C6,9.575,8.841,8.031
D1,2.223,2.323,1.975
D2,2.568,3.047,2.681
D3,165756.623,155915.367,153864.240
D4,223369.573,222992.172,221808.363
D5,2.853,3.245,3.649
D6,2.890,2.907,2.921
