operation,iteration_1_ms,iteration_2_ms,iteration_3_ms
R1,423.871,422.651,409.265
R2,26.751,26.404,25.513
R3,106.658,109.615,123.080
R4,30.029,30.786,29.419
R5,150.985,154.352,156.019
R6,148.165,136.829,137.757
U1,6.486,5.184,6.536
U2,8.947,4.298,4.320
U3,121.606,21.456,18.102
U4,4.963,3.783,3.904
U5,71.367,5.211,6.303
U6,9.183,6.949,6.751
C1,6.071,4.091,5.904
C2,3.724,5.134,7.897
C3,7.740,7.255,7.233
C4,5.063,6.308,6.764
C5,6.569,7.037,7.008
C6,12.010,9.420,8.235
D1,3.295,3.907,8.775
D2,3.919,3.593,4.495
D3,2725.093,2652.676,2692.292
D4,291.473,286.822,309.067
D5,6.509,5.586,7.080
D6,5.068,5.786,5.306
