operation,iteration_1_ms,iteration_2_ms,iteration_3_ms
R1,645.239,520.229,495.880
R2,11.449,12.601,11.896
R3,304.761,315.759,340.284
R4,24.632,23.747,25.045
R5,187.506,144.968,166.083
R6,147.482,146.532,149.563
U1,2.651,2.271,2.174
U2,2.050,2.272,2.268
U3,23.713,14.558,12.656
U4,1.821,2.637,2.291
U5,44.050,27.097,26.192
U6,4.429,3.193,4.027
C1,2.076,2.659,2.204
C2,3.009,2.386,3.013
C3,3.404,3.990,3.558
C4,2.652,2.359,2.873
C5,3.106,2.712,3.462
C6,9.676,11.997,11.385
D1,1.805,2.183,1.611
D2,1.768,1.604,1.547
D3,1165.471,1204.577,1188.442
D4,490.631,500.418,482.684
D5,2.324,2.288,2.287
D6,1.997,1.746,1.855

